05,13,13,13,13,13,13,13,13,13,13,13,13,13,13,06
04,09,01,01,01,01,09,01,10,01,01,09,01,11,09,02
04,00,00,00,00,00,00,00,00,00,04,14,02,00,00,02
04,00,00,00,00,00,00,00,00,00,17,14,18,00,00,02
04,00,00,00,00,00,00,00,00,00,19,14,01,00,00,02
04,00,00,00,00,00,00,00,00,00,12,12,12,12,12,02
04,00,00,00,00,00,00,00,00,00,00,00,00,12,12,02
04,00,00,00,00,00,00,00,00,00,00,00,00,12,12,02
04,00,00,00,00,00,00,00,00,00,00,00,00,12,12,02
04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,02
04,13,13,13,00,00,14,15,00,14,00,00,00,00,00,02
04,09,01,11,00,00,14,12,00,12,14,05,13,13,13,02
04,12,00,14,00,00,00,12,14,00,00,04,00,00,00,02
04,00,14,12,00,00,14,00,12,14,12,04,00,00,00,02
04,15,14,00,15,12,12,14,00,15,00,04,00,00,00,02
08,03,03,03,03,03,03,03,03,03,03,03,03,03,03,07

0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0

